Gryoscope_X,Gryoscope_Y,Gryoscope_Z
1.469472988,-0.214017348,-0.261452513
1.704727872,0.030853119,-0.354636775
1.891631229,0.231009646,-0.415371226
2.036377294,0.331315471,-0.400739299
2.107532604,0.385232492,-0.320885198
2.096453769,0.356686069,-0.217003019
2.011683805,0.20253673,-0.125326099
1.875792606,-0.034902459,-0.068795444
1.690830214,-0.297150599,-0.04032998
1.469324691,-0.503971414,-0.015844611
1.24651633,-0.623048263,0.002880074
1.041476948,-0.586867111,0.020314191
0.876290126,-0.419866906,0.009262073
0.767806513,-0.245571555,-0.02530336
0.706115706,-0.144599931,-0.067442821
0.671027763,-0.122136699,-0.094602005
0.619418664,-0.180055128,-0.099674532
0.524552865,-0.296244042,-0.108250173
0.383426888,-0.429266291,-0.142894702
0.170322595,-0.457653181,-0.204013722
-0.105680222,-0.330251561,-0.265477346
-0.386341439,-0.12140646,-0.334726976
-0.622609632,0.07706376,-0.403286354
-0.795964138,0.166165142,-0.450848
-0.937959092,0.121462381,-0.460972266
-1.073267357,0.022287328,-0.414828228
-1.194020169,-0.112243051,-0.30858727
-1.315705554,-0.254081415,-0.161782907
-1.422605173,-0.378114955,-0.005885987
-1.511672394,-0.497243451,0.112240656
-1.585314886,-0.584117906,0.155757768
-1.652251379,-0.604830639,0.160439609
-1.705225842,-0.602817552,0.145658268
-1.726261394,-0.659303741,0.160989283
-1.68064894,-0.757724838,0.20975229
-1.571274178,-0.885609286,0.279436303
-1.40799238,-0.947523551,0.341493292
-1.210200684,-0.932080941,0.3537084
-1.001735942,-0.837656157,0.280293567
-0.776169376,-0.702981965,0.13992901
-0.776169376,-0.702981965,0.13992901
-0.204666199,-0.406637924,-0.185333507
0.168825371,-0.301228152,-0.311649369
0.573622151,-0.194637002,-0.415756332
0.954515381,-0.052830325,-0.486457662
1.243422015,0.130296616,-0.529474096
1.446741564,0.296884014,-0.567950385
1.565923436,0.454028351,-0.608347909
1.589904649,0.576218946,-0.656087177
1.536801202,0.59053932,-0.684847968
1.428901894,0.503058179,-0.672586279
1.312373383,0.33833052,-0.617485957
1.186253293,0.173461138,-0.508601324
1.060146792,0.025680194,-0.373463468
0.91956274,-0.123659493,-0.25313385
0.781353994,-0.237212153,-0.162097694
0.655758245,-0.272102224,-0.110968994
0.558499081,-0.254843609,-0.117965387
0.491695566,-0.222442793,-0.160944806
0.461019946,-0.185041355,-0.199795799
0.451580359,-0.136356117,-0.211199464
0.454004122,-0.094628105,-0.180770444
0.430026604,-0.042158509,-0.100074807
0.364366634,0.045111949,0.054043925
0.252538903,0.126135169,0.284983678
0.06912381,0.186545504,0.540229304
-0.160981299,0.221156744,0.777650638
-0.378323989,0.232314063,0.962974413
-0.551433759,0.274771763,1.079054935
-0.682067113,0.375382258,1.136238558
-0.776191728,0.497877551,1.144811852
-0.776191728,0.497877551,1.144811852
-0.948807435,0.642896814,1.134301646
-1.07422425,0.638933225,1.111294134
-1.07422425,0.638933225,1.111294134
-1.501549261,0.453626735,0.987645907
-1.501549261,0.453626735,0.987645907
-2.031916754,0.20588751,0.750779612
-2.031916754,0.20588751,0.750779612
-2.261506932,0.081769293,0.607541485
-2.452393668,-0.065909909,0.484534336
-2.602564948,-0.194363223,0.373959346
-2.722189085,-0.318354146,0.289659901
-2.805649178,-0.481729226,0.19253522
-2.859799521,-0.676376479,0.065254769
-2.839835064,-0.867900388,-0.080077926
-2.747754471,-1.035136001,-0.211183475
-2.583616393,-1.167620437,-0.314821737
-2.38949074,-1.300600665,-0.432463126
-2.218665736,-1.408192651,-0.603777127
-2.067727225,-1.517483132,-0.841726797
-1.803837912,-1.42771651,-1.143869655
-1.392158525,-1.241978662,-1.436010377
-0.810249286,-0.996993081,-1.68182625
-0.108586268,-0.705111163,-1.821485178
0.6283565,-0.424881922,-1.845416324
1.311577184,-0.256063597,-1.780085223
1.876776559,-0.144066768,-1.649565833
2.298725946,-0.065256903,-1.466650383
2.610566719,0.012903147,-1.262181299
2.837269886,0.092839522,-1.046025054
3.003054245,0.204776449,-0.81194921
3.10762821,0.343333794,-0.570303039
3.181220634,0.509110255,-0.316857712
3.207235916,0.63888423,-0.081245454
3.177624328,0.744828208,0.134281499
3.10598479,0.820986374,0.328377469
2.997100217,0.837858839,0.46810369
2.81869374,0.798830493,0.589695079
2.601278169,0.809694333,0.683192833
2.339279993,0.762779279,0.742305918
2.005645616,0.599559171,0.760407193
1.65474139,0.183945192,0.743571205
1.411302431,-0.067378374,0.713833852
1.126300199,0.031715183,0.68271373
0.701416059,0.177979989,0.685496731
0.158364473,0.142288564,0.748027487
-0.422816889,0.139474405,0.73087327
-1.001955049,0.274063094,0.678048117
-1.52507879,0.455637707,0.580795629
-1.960214035,0.659204407,0.432733191
-2.283698933,0.874090059,0.258644207
-2.484613078,0.953126593,0.07411111
-2.484277623,0.827004595,-0.083313668
-2.278564589,0.57258801,-0.18824807
-1.941808121,0.291670872,-0.218452575
-1.572956579,0.036372518,-0.201627524
-1.235413091,-0.232155071,-0.139946313
-0.960982339,-0.498107122,-0.069800788
-0.772487001,-0.710238831,-0.004475843
-0.677988725,-0.808303313,0.037570412
-0.655802207,-0.858112948,0.002538124
-0.687835531,-0.910913901,-0.114335501
-0.743843155,-0.900615411,-0.296041654
-0.792312639,-0.80862798,-0.519721584
-0.798124747,-0.658615844,-0.756034272
-0.723589497,-0.526452498,-0.943937616
-0.539225535,-0.412088351,-1.050685065
-0.241646843,-0.346288042,-1.067031519
0.137751071,-0.332638012,-0.99589719
0.543328686,-0.342940973,-0.857790487
0.917796834,-0.331010269,-0.673810499
1.208135707,-0.257229792,-0.482037084
1.405330045,-0.171438994,-0.298289614
1.500790937,-0.115502493,-0.15257396
1.514802678,-0.078948216,-0.03199056
1.441830976,-0.055715328,0.071187755
1.316294415,-0.071320655,0.142976193
1.133537037,-0.137589158,0.168024553
0.907671495,-0.202486934,0.143215073
0.6661707,-0.254527496,0.117131015
0.430666579,-0.317053454,0.098352535
0.253647311,-0.37932189,0.098096339
0.190702705,-0.425002025,0.126987903
0.229632257,-0.456865148,0.150597094
0.331659837,-0.456190036,0.174897639
0.446683092,-0.404856281,0.19311793
0.567772491,-0.359938072,0.182596846
0.683451696,-0.352125959,0.149113445
0.778395219,-0.360020088,0.099500088
