class_name,Acceleration_X,Acceleration_Y,Acceleration_Z,Gryoscope_X,Gryoscope_Y,Gryoscope_Z
,-1.935836792,-0.862701416,-0.150741577,1.175678253,-2.395585775,-2.570896864
,-1.909790039,-0.848144531,-0.09274292,1.166203618,-2.231904268,-2.942748547
,-1.865386963,-0.810668945,-0.04019165,1.033125401,-2.098801136,-3.280136585
,-1.789535522,-0.744979858,-0.023040771,0.823538363,-2.043968678,-3.584471226
,-1.686264038,-0.648284912,-0.02041626,0.585335612,-2.148477316,-3.84806776
,-1.545715332,-0.570556641,-0.057647705,0.404833496,-2.248632669,-4.089888573
,-1.414413452,-0.533294678,-0.095733643,0.293510973,-2.195279598,-4.392104626
,-1.258666992,-0.50038147,-0.148834229,0.313695341,-1.905415893,-4.703764915
,-1.09526062,-0.489501953,-0.194869995,0.585853875,-1.410183787,-4.89773941
,-0.957046509,-0.435806274,-0.149154663,0.873908341,-1.059648871,-4.891479015
,-0.797073364,-0.337615967,-0.143081665,1.06211412,-0.825856388,-4.660961628
,-0.603424072,-0.304534912,-0.115386963,1.100199819,-0.737925172,-4.261288643
,-0.438613892,-0.255813599,-0.067138672,0.992596328,-0.776741266,-3.779901743
,-0.286026001,-0.176727295,-0.024459839,0.773143649,-0.900100529,-3.264629602
,-0.133377075,-0.130950928,0.007324219,0.441793114,-0.991384864,-2.7432127
,-0.010894775,-0.086807251,0.004837036,0.079308137,-0.86571002,-2.247457027
,0.021408081,-0.065170288,0.010452271,-0.250920117,-0.53932023,-1.977412224
,0.083648682,-0.03338623,0.012313843,-0.44815594,-0.176117778,-1.866133213
,0.150100708,-0.006362915,-0.009048462,-0.408606678,0.080998711,-1.754435062
,0.220458984,-0.001586914,-0.01574707,-0.123090506,0.067629375,-1.539768934
,0.297164917,0.023208618,-0.018386841,0.291467279,-0.14300403,-1.193690062
,0.359863281,0.052749634,-0.004486084,0.640356541,-0.343212217,-0.777811348
,0.39994812,0.066864014,0.008926392,0.830930471,-0.338685393,-0.372745603
,0.410018921,0.073196411,0.046676636,0.84647429,-0.209770799,-0.03070678
,0.412094116,0.076416016,0.075561523,0.742909551,-0.024698688,0.255237877
,0.401382446,0.080795288,0.083190918,0.645774186,0.188189343,0.519436002
,0.390228271,0.101425171,0.101776123,0.611689746,0.322148204,0.784502566
,0.38772583,0.110397339,0.113098145,0.65862745,0.35648942,1.094064116
